"","ZNF384","KLF4","hb","Foxo1","MZF1","GSC2","ceh-48","THAP1","NKX2-2","NKX2-8","NFAT5","PRDM1","HLTF","RUNX1","ELF3","Deaf1","RARB(var.3)","Wt1","Sox3","Dlx1","Kr","ZNF148","EN2","MYF5","ZNF740","hlh-30","GSX1","EMX2","Gmeb1","D","dsc-1","h","NEUROD2","GABPA","HIC2","EGR4","IRF1","MEIS3","BARX1","HOXB6","PITX3","lim-7","Nkx2-5(var.2)","NRF1","Mad","NR4A1","RXRB(var.2)","br","br(var.4)"
"109",0.0117533065373541,0.0318416580310031,0.00949911343165031,0.0106223058638717,0.0353952863008535,0.0415110295799497,0.0187541428536455,0.0257266141680149,0.0249487014533997,0.0215621791787739,0.0199910564737811,0.0235847556706015,0.0294920657239393,0.0230122662283434,0.0230896011582257,0.022119866803438,0.0222885606559089,0.0199446100006193,0.0210954085524323,0.0178767678296,0.0245613468669667,0.0192492717531288,0.0185322410216977,0.0203551791419493,0.0225755040712013,0.0198851316654071,0.018418588777535,0.0184373671013689,0.0189023229835673,0.0214091227994282,0.0219923641129253,0.0187801902060602,0.0216528887705579,0.0208702160115999,0.0194023797605344,0.0194408204792458,0.0225958080869376,0.424583320010291,0.000471194339827477,0.000475055875574031,0.0123151339764209,0.00530255153500712,0.00413272661820884,0.0112137740352054,0.000923797171109053,0.0145312818246235,0.0143918680914801,0.0158768595709146,0.0141012616184778
"11",0.0238938451509395,0.79465100247221,0.0153296076454966,0.0171422083076779,0.865252675248091,0.869645818529908,0.759653623519486,0.812502431006725,0.907304677149209,0.777597188692725,0.80975593535796,0.847717974586522,1.05796851739723,0.834623496532069,0.829808513197591,0.895985335087375,0.902818433101771,0.807874578693864,0.854488721320797,0.724114749714217,0.882814136922347,0.779709270185768,0.750665287874385,0.824505055402426,0.816216760520855,0.805465354597756,0.746061700295198,0.746822333391327,0.76565579453349,0.867196002391435,0.890820722574165,0.760708695233471,0.777799883111143,0.845367092517612,0.785911049361878,0.787468125656307,0.915263769906523,0.0385289320538051,0.00217219953233489,0.00219000115988803,0.0193499724388467,0.0229611980577882,0.0191044035848149,0.0045376907949825,0.00320752624503438,0.0198489391268963,0.0196585075644221,0.0428359440956244,0.038045361028037
"111",0.00581195780459133,0.0306417398163304,0.00499061683002897,0.00558071643205375,0.0315504388619687,0.03637792867171,0.0210895865355349,0.0282298106553636,0.0290934410894496,0.0252101513612114,0.0224805323672055,0.0276032523431643,0.0314983446585186,0.0268580116704451,0.0270248553329236,0.0248744423430118,0.0250641435534302,0.0224283019388323,0.0237224088373894,0.0201029524548348,0.02874629981231,0.0216463735800501,0.020840051383554,0.022889999042372,0.0263740489109333,0.0223614167973872,0.0207122460843765,0.0207333628631372,0.0212562194601756,0.0240751897568418,0.0247310618085845,0.0211188775512352,0.0253470488977086,0.0234691731862534,0.0218185480482016,0.0218617757696751,0.0254096523476774,0.00848688087304277,0.00185045336709014,0.00186561821781174,0.0061226183392131,0.00647290724859419,0.00283880608660847,0.00295370909863926,0.211869001695559,0.000263986604520767,0.000261453905858649,0.416623078332093,0.370029790691031
"112",0.0124646288534367,0.0418028041444481,0.00654406012968226,0.00731784169009297,0.152535716674903,0.147975855550924,0.032763065817832,0.129611877542837,0.0403976448995107,0.0347119181242411,0.0349239260962104,0.0378809484560713,0.140025035958881,0.0371923858535519,0.0370821965198209,0.0386429098689437,0.038937614235584,0.0348427851520956,0.0368532043426898,0.0312303113814362,0.039449329992222,0.0336280448706565,0.0323754083075988,0.0355600402090256,0.0364072955650304,0.0347388778380424,0.0321768603928844,0.0322096657023309,0.0330219331724964,0.0374012560773135,0.0384201655359278,0.0328085699567417,0.0347632389259024,0.0364597980380375,0.033895521116466,0.0339626761875909,0.0394743685881402,0.0105824933389885,0.000858959336152266,0.000865998686800244,0.00702768094948365,0.180557608479034,0.103276094618966,0.0114095556026368,0.00459104584467782,0.00328780463972344,0.00325626130278992,0.00816815082743983,0.00725466086302861
"113",0.00573897008424065,0.00572685061304086,0.00373858931132227,0.00418064690457825,0.00416086111543601,0.0107961824547001,0,0.00165381941670889,0.00180976047892162,0.00167890418143543,0,0.00188580020896428,0,0.00170888636977859,0.00184816933589789,0,0,0,0,0,0.00196399057268886,0,0,0,0.00172142204538402,0,0,0,0,0,0,0,0.00173974490781335,0,0,0,0,0.0102659103404564,4.98631813469275e-05,5.02718205026495e-05,0.00685791082371357,0.000279695833055458,0,0,0,0.000406966100488978,0.000403061650488165,0.00389024608431666,0.00345517811946283
"115",0.0082869644111762,0.209117031004814,0.00507864841563437,0.00567915703229614,0.25279018342441,0.264834258528931,0.19756033491383,0.23537442813519,0.237323213530224,0.203492050721513,0.210590259606228,0.221884020557548,0.298205990970648,0.218345267843048,0.21719801444857,0.233015623696557,0.234792682464431,0.210100982070857,0.222223751375151,0.188317870198266,0.231070274080117,0.202776133469424,0.195222771390948,0.214426009223493,0.213567742149419,0.20947442398626,0.194025533234253,0.19422334829702,0.199121297540774,0.225528487410673,0.231672481840558,0.197834723549281,0.203590613430977,0.21985152278896,0.204389007459831,0.204793950587449,0.238029295614344,0.0127866181205411,0.00174798838131911,0.00176231351014281,0.0175848310087735,0.0354312522732656,0.0300007929317482,0.0226400340222358,0.0149284443162779,0.00385116702646164,0.00381421876693453,0.21530873831922,0.191229558605261
"119",0.0105904440865561,0.741491563459277,0.00672579282198827,0.00752106278614887,0.80768886687401,0.818197620489714,0.717696539161787,0.765763351395616,0.8562270870773,0.733753393408281,0.765031607010055,0.799890903727501,0.998543830768389,0.787614037297748,0.782990690396884,0.84649839640425,0.852954089689783,0.763254161178236,0.807293717896661,0.684120543542127,0.833006927005929,0.736644475112327,0.709204646033671,0.778966105686639,0.770217252118982,0.760978003015742,0.704855323169913,0.705573945083587,0.723367199092625,0.819299152168534,0.841619035058392,0.71869333730011,0.733912435593848,0.79867589363982,0.742503718474739,0.743974794545627,0.864712047365403,0.019439262390489,0.001236325431328,0.00124645737571679,0.0213941363306886,0.026721999081153,0.0169735304033569,0.0322722025562178,0.00224405961800331,0.00629434596503208,0.00623395774331347,0.0313756617744963,0.0278667461382326
"12",0.00466166467160706,0.0167849730049602,0.00348082606638156,0.00389240526519521,0.28609471812271,0.256780759520826,0.012255107577366,0.244405522054711,0.0151477542475632,0.013018324745323,0.0130633828260386,0.0142079285384662,0.25033009164853,0.0139467615053093,0.0139083858137696,0.0144544781059107,0.0145647130191138,0.0130330318508098,0.0137850342303589,0.0116817769064161,0.0147961804383574,0.0125786551782979,0.0121101033058642,0.013301322917707,0.0136533521844906,0.0129941650573639,0.0120358359565381,0.0120481068654515,0.012351937565662,0.0139900343668883,0.0143711600251628,0.0122721285155363,0.0130387623684812,0.0136378796077746,0.0126787053440855,0.0127038248681733,0.0147654873413268,0.00653192773332968,0.00255158484237247,0.00257249561155275,0.00161692853891111,0.383261636822543,0.253478298645874,0.00582690919602195,0.00171984928659433,0.00219524939766037,0.00217418808198277,0.00035205916882828,0.000312686424078855
"120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117943362158026,0,0,0,0,0,0,0.0135260706976941,0,0,0,0
"121",0.019306793791221,0.574934357013745,0.018568356023546,0.020763912178813,0.611278116848581,0.612827134911891,0.530754425672445,0.576937193414201,0.645929368419308,0.554436707819212,0.565759884636084,0.604802153098146,0.737442243308008,0.594478859056783,0.59203936505205,0.626006599865885,0.630780745476343,0.564445419273422,0.597013765862157,0.505924142538704,0.629842193034091,0.544766895169445,0.524474459678253,0.576064792683657,0.581701668302322,0.562762143749082,0.521258027338599,0.521789466101719,0.534948019608805,0.605892082844649,0.622398190897111,0.531491582666451,0.554982220148656,0.590640670668848,0.549099951239806,0.550187848550885,0.639476047366043,0.0116589859416363,0.00134317274203895,0.00135418032239121,0.0144069474857745,0.0203638091157735,0.0114607800037163,0.0113608103695648,0.0138836039196508,0.00138230208805202,0.00136904022328654,0.132041978385572,0.117274985869834
