"Base Gene ID","Manuscript Gene ID","Manuscript Transcript ID","Genome Portal Gene ID","Genome Portal Transcript ID"
"G011604","HVAEP1_G011604","HVAEP1_T011604.1","HVAEP6.G011604","HVAEP6.T011604.1"
"G011605","HVAEP1_G011605","HVAEP1_T011605.1","HVAEP6.G011605","HVAEP6.T011605.1"
"G011606","HVAEP1_G011606","HVAEP1_T011606.1","HVAEP6.G011606","HVAEP6.T011606.1"
"G011607","HVAEP1_G011607","HVAEP1_T011607.1","HVAEP6.G011607","HVAEP6.T011607.1"
"G011608","HVAEP1_G011608","HVAEP1_T011608.1","HVAEP6.G011608","HVAEP6.T011608.1"
"G011608","HVAEP1_G011608","HVAEP1_T011608.2","HVAEP6.G011608","HVAEP6.T011608.2"
"G011609","HVAEP1_G011609","HVAEP1_T011609.1","HVAEP6.G011609","HVAEP6.T011609.1"
"G011610","HVAEP1_G011610","HVAEP1_T011610.1","HVAEP6.G011610","HVAEP6.T011610.1"
"G011611","HVAEP1_G011611","HVAEP1_T011611.1","HVAEP6.G011611","HVAEP6.T011611.1"
"G011612","HVAEP1_G011612","HVAEP1_T011612.1","HVAEP6.G011612","HVAEP6.T011612.1"
"G011613","HVAEP1_G011613","HVAEP1_T011613.1","HVAEP6.G011613","HVAEP6.T011613.1"
"G011614","HVAEP1_G011614","HVAEP1_T011614.1","HVAEP6.G011614","HVAEP6.T011614.1"
"G011614","HVAEP1_G011614","HVAEP1_T011614.2","HVAEP6.G011614","HVAEP6.T011614.2"
"G011615","HVAEP1_G011615","HVAEP1_T011615.1","HVAEP6.G011615","HVAEP6.T011615.1"
"G011616","HVAEP1_G011616","HVAEP1_T011616.1","HVAEP6.G011616","HVAEP6.T011616.1"
"G011617","HVAEP1_G011617","HVAEP1_T011617.1","HVAEP6.G011617","HVAEP6.T011617.1"
"G011617","HVAEP1_G011617","HVAEP1_T011617.2","HVAEP6.G011617","HVAEP6.T011617.2"
"G011617","HVAEP1_G011617","HVAEP1_T011617.3","HVAEP6.G011617","HVAEP6.T011617.3"
"G011617","HVAEP1_G011617","HVAEP1_T011617.4","HVAEP6.G011617","HVAEP6.T011617.4"
"G011618","HVAEP1_G011618","HVAEP1_T011618.1","HVAEP6.G011618","HVAEP6.T011618.1"
"G011618","HVAEP1_G011618","HVAEP1_T011618.2","HVAEP6.G011618","HVAEP6.T011618.2"
"G011618","HVAEP1_G011618","HVAEP1_T011618.3","HVAEP6.G011618","HVAEP6.T011618.3"
"G011618","HVAEP1_G011618","HVAEP1_T011618.4","HVAEP6.G011618","HVAEP6.T011618.4"
"G011619","HVAEP1_G011619","HVAEP1_T011619.1","HVAEP6.G011619","HVAEP6.T011619.1"
"G011620","HVAEP1_G011620","HVAEP1_T011620.1","HVAEP6.G011620","HVAEP6.T011620.1"
"G011621","HVAEP1_G011621","HVAEP1_T011621.1","HVAEP6.G011621","HVAEP6.T011621.1"
"G011621","HVAEP1_G011621","HVAEP1_T011621.2","HVAEP6.G011621","HVAEP6.T011621.2"
"G011622","HVAEP1_G011622","HVAEP1_T011622.1","HVAEP6.G011622","HVAEP6.T011622.1"
"G011623","HVAEP1_G011623","HVAEP1_T011623.1","HVAEP6.G011623","HVAEP6.T011623.1"
"G011623","HVAEP1_G011623","HVAEP1_T011623.2","HVAEP6.G011623","HVAEP6.T011623.2"
"G011624","HVAEP1_G011624","HVAEP1_T011624.1","HVAEP6.G011624","HVAEP6.T011624.1"
"G011625","HVAEP1_G011625","HVAEP1_T011625.1","HVAEP6.G011625","HVAEP6.T011625.1"
"G011626","HVAEP1_G011626","HVAEP1_T011626.1","HVAEP6.G011626","HVAEP6.T011626.1"
"G011627","HVAEP1_G011627","HVAEP1_T011627.1","HVAEP6.G011627","HVAEP6.T011627.1"
"G011628","HVAEP1_G011628","HVAEP1_T011628.1","HVAEP6.G011628","HVAEP6.T011628.1"
"G011629","HVAEP1_G011629","HVAEP1_T011629.1","HVAEP6.G011629","HVAEP6.T011629.1"
"G011629","HVAEP1_G011629","HVAEP1_T011629.2","HVAEP6.G011629","HVAEP6.T011629.2"
"G011630","HVAEP1_G011630","HVAEP1_T011630.1","HVAEP6.G011630","HVAEP6.T011630.1"
"G011630","HVAEP1_G011630","HVAEP1_T011630.2","HVAEP6.G011630","HVAEP6.T011630.2"
"G011631","HVAEP1_G011631","HVAEP1_T011631.1","HVAEP6.G011631","HVAEP6.T011631.1"
"G011632","HVAEP1_G011632","HVAEP1_T011632.1","HVAEP6.G011632","HVAEP6.T011632.1"
"G011632","HVAEP1_G011632","HVAEP1_T011632.2","HVAEP6.G011632","HVAEP6.T011632.2"
"G011632","HVAEP1_G011632","HVAEP1_T011632.3","HVAEP6.G011632","HVAEP6.T011632.3"
"G011633","HVAEP1_G011633","HVAEP1_T011633.1","HVAEP6.G011633","HVAEP6.T011633.1"
"G011634","HVAEP1_G011634","HVAEP1_T011634.1","HVAEP6.G011634","HVAEP6.T011634.1"
"G011635","HVAEP1_G011635","HVAEP1_T011635.1","HVAEP6.G011635","HVAEP6.T011635.1"
"G011635","HVAEP1_G011635","HVAEP1_T011635.2","HVAEP6.G011635","HVAEP6.T011635.2"
"G011635","HVAEP1_G011635","HVAEP1_T011635.3","HVAEP6.G011635","HVAEP6.T011635.3"
"G011636","HVAEP1_G011636","HVAEP1_T011636.1","HVAEP6.G011636","HVAEP6.T011636.1"
"G011637","HVAEP1_G011637","HVAEP1_T011637.1","HVAEP6.G011637","HVAEP6.T011637.1"
"G011637","HVAEP1_G011637","HVAEP1_T011637.2","HVAEP6.G011637","HVAEP6.T011637.2"
"G011638","HVAEP1_G011638","HVAEP1_T011638.1","HVAEP6.G011638","HVAEP6.T011638.1"
"G011638","HVAEP1_G011638","HVAEP1_T011638.2","HVAEP6.G011638","HVAEP6.T011638.2"
"G011638","HVAEP1_G011638","HVAEP1_T011638.3","HVAEP6.G011638","HVAEP6.T011638.3"
"G011639","HVAEP1_G011639","HVAEP1_T011639.1","HVAEP6.G011639","HVAEP6.T011639.1"
"G011639","HVAEP1_G011639","HVAEP1_T011639.2","HVAEP6.G011639","HVAEP6.T011639.2"
"G011640","HVAEP1_G011640","HVAEP1_T011640.1","HVAEP6.G011640","HVAEP6.T011640.1"
"G011641","HVAEP1_G011641","HVAEP1_T011641.1","HVAEP6.G011641","HVAEP6.T011641.1"
"G011641","HVAEP1_G011641","HVAEP1_T011641.2","HVAEP6.G011641","HVAEP6.T011641.2"
"G011642","HVAEP1_G011642","HVAEP1_T011642.1","HVAEP6.G011642","HVAEP6.T011642.1"
"G011642","HVAEP1_G011642","HVAEP1_T011642.2","HVAEP6.G011642","HVAEP6.T011642.2"
"G011642","HVAEP1_G011642","HVAEP1_T011642.3","HVAEP6.G011642","HVAEP6.T011642.3"
"G011643","HVAEP1_G011643","HVAEP1_T011643.1","HVAEP6.G011643","HVAEP6.T011643.1"
"G011644","HVAEP1_G011644","HVAEP1_T011644.1","HVAEP6.G011644","HVAEP6.T011644.1"
"G011645","HVAEP1_G011645","HVAEP1_T011645.1","HVAEP6.G011645","HVAEP6.T011645.1"
"G011646","HVAEP1_G011646","HVAEP1_T011646.1","HVAEP6.G011646","HVAEP6.T011646.1"
"G011647","HVAEP1_G011647","HVAEP1_T011647.1","HVAEP6.G011647","HVAEP6.T011647.1"
"G011648","HVAEP1_G011648","HVAEP1_T011648.1","HVAEP6.G011648","HVAEP6.T011648.1"
"G011649","HVAEP1_G011649","HVAEP1_T011649.1","HVAEP6.G011649","HVAEP6.T011649.1"
"G011650","HVAEP1_G011650","HVAEP1_T011650.1","HVAEP6.G011650","HVAEP6.T011650.1"
"G011651","HVAEP1_G011651","HVAEP1_T011651.1","HVAEP6.G011651","HVAEP6.T011651.1"
"G011652","HVAEP1_G011652","HVAEP1_T011652.1","HVAEP6.G011652","HVAEP6.T011652.1"
"G011653","HVAEP1_G011653","HVAEP1_T011653.1","HVAEP6.G011653","HVAEP6.T011653.1"
"G011654","HVAEP1_G011654","HVAEP1_T011654.1","HVAEP6.G011654","HVAEP6.T011654.1"
"G011654","HVAEP1_G011654","HVAEP1_T011654.2","HVAEP6.G011654","HVAEP6.T011654.2"
"G011654","HVAEP1_G011654","HVAEP1_T011654.3","HVAEP6.G011654","HVAEP6.T011654.3"
"G011655","HVAEP1_G011655","HVAEP1_T011655.1","HVAEP6.G011655","HVAEP6.T011655.1"
"G011656","HVAEP1_G011656","HVAEP1_T011656.1","HVAEP6.G011656","HVAEP6.T011656.1"
"G011657","HVAEP1_G011657","HVAEP1_T011657.1","HVAEP6.G011657","HVAEP6.T011657.1"
"G011658","HVAEP1_G011658","HVAEP1_T011658.1","HVAEP6.G011658","HVAEP6.T011658.1"
"G011658","HVAEP1_G011658","HVAEP1_T011658.2","HVAEP6.G011658","HVAEP6.T011658.2"
"G011659","HVAEP1_G011659","HVAEP1_T011659.1","HVAEP6.G011659","HVAEP6.T011659.1"
"G011660","HVAEP1_G011660","HVAEP1_T011660.1","HVAEP6.G011660","HVAEP6.T011660.1"
"G011661","HVAEP1_G011661","HVAEP1_T011661.1","HVAEP6.G011661","HVAEP6.T011661.1"
"G011662","HVAEP1_G011662","HVAEP1_T011662.1","HVAEP6.G011662","HVAEP6.T011662.1"
"G011663","HVAEP1_G011663","HVAEP1_T011663.1","HVAEP6.G011663","HVAEP6.T011663.1"
"G011664","HVAEP1_G011664","HVAEP1_T011664.1","HVAEP6.G011664","HVAEP6.T011664.1"
"G011665","HVAEP1_G011665","HVAEP1_T011665.1","HVAEP6.G011665","HVAEP6.T011665.1"
"G011666","HVAEP1_G011666","HVAEP1_T011666.1","HVAEP6.G011666","HVAEP6.T011666.1"
"G011667","HVAEP1_G011667","HVAEP1_T011667.1","HVAEP6.G011667","HVAEP6.T011667.1"
"G011668","HVAEP1_G011668","HVAEP1_T011668.1","HVAEP6.G011668","HVAEP6.T011668.1"
"G011669","HVAEP1_G011669","HVAEP1_T011669.1","HVAEP6.G011669","HVAEP6.T011669.1"
"G011670","HVAEP1_G011670","HVAEP1_T011670.1","HVAEP6.G011670","HVAEP6.T011670.1"
"G011671","HVAEP1_G011671","HVAEP1_T011671.1","HVAEP6.G011671","HVAEP6.T011671.1"
"G011671","HVAEP1_G011671","HVAEP1_T011671.2","HVAEP6.G011671","HVAEP6.T011671.2"
"G011671","HVAEP1_G011671","HVAEP1_T011671.3","HVAEP6.G011671","HVAEP6.T011671.3"
"G011672","HVAEP1_G011672","HVAEP1_T011672.1","HVAEP6.G011672","HVAEP6.T011672.1"
"G011673","HVAEP1_G011673","HVAEP1_T011673.1","HVAEP6.G011673","HVAEP6.T011673.1"
"G011674","HVAEP1_G011674","HVAEP1_T011674.1","HVAEP6.G011674","HVAEP6.T011674.1"
"G011675","HVAEP1_G011675","HVAEP1_T011675.1","HVAEP6.G011675","HVAEP6.T011675.1"
"G011675","HVAEP1_G011675","HVAEP1_T011675.2","HVAEP6.G011675","HVAEP6.T011675.2"
"G011676","HVAEP1_G011676","HVAEP1_T011676.1","HVAEP6.G011676","HVAEP6.T011676.1"
"G011677","HVAEP1_G011677","HVAEP1_T011677.1","HVAEP6.G011677","HVAEP6.T011677.1"
"G011678","HVAEP1_G011678","HVAEP1_T011678.1","HVAEP6.G011678","HVAEP6.T011678.1"
"G011679","HVAEP1_G011679","HVAEP1_T011679.1","HVAEP6.G011679","HVAEP6.T011679.1"
"G011680","HVAEP1_G011680","HVAEP1_T011680.1","HVAEP6.G011680","HVAEP6.T011680.1"
"G011681","HVAEP1_G011681","HVAEP1_T011681.1","HVAEP6.G011681","HVAEP6.T011681.1"
"G011682","HVAEP1_G011682","HVAEP1_T011682.1","HVAEP6.G011682","HVAEP6.T011682.1"
"G011683","HVAEP1_G011683","HVAEP1_T011683.1","HVAEP6.G011683","HVAEP6.T011683.1"
"G011684","HVAEP1_G011684","HVAEP1_T011684.1","HVAEP6.G011684","HVAEP6.T011684.1"
"G011685","HVAEP1_G011685","HVAEP1_T011685.1","HVAEP6.G011685","HVAEP6.T011685.1"
"G011686","HVAEP1_G011686","HVAEP1_T011686.1","HVAEP6.G011686","HVAEP6.T011686.1"
"G011687","HVAEP1_G011687","HVAEP1_T011687.1","HVAEP6.G011687","HVAEP6.T011687.1"
"G011688","HVAEP1_G011688","HVAEP1_T011688.1","HVAEP6.G011688","HVAEP6.T011688.1"
"G011689","HVAEP1_G011689","HVAEP1_T011689.1","HVAEP6.G011689","HVAEP6.T011689.1"
"G011690","HVAEP1_G011690","HVAEP1_T011690.1","HVAEP6.G011690","HVAEP6.T011690.1"
"G011690","HVAEP1_G011690","HVAEP1_T011690.2","HVAEP6.G011690","HVAEP6.T011690.2"
"G011691","HVAEP1_G011691","HVAEP1_T011691.1","HVAEP6.G011691","HVAEP6.T011691.1"
"G011691","HVAEP1_G011691","HVAEP1_T011691.2","HVAEP6.G011691","HVAEP6.T011691.2"
"G011691","HVAEP1_G011691","HVAEP1_T011691.3","HVAEP6.G011691","HVAEP6.T011691.3"
"G011692","HVAEP1_G011692","HVAEP1_T011692.1","HVAEP6.G011692","HVAEP6.T011692.1"
"G011692","HVAEP1_G011692","HVAEP1_T011692.2","HVAEP6.G011692","HVAEP6.T011692.2"
"G011692","HVAEP1_G011692","HVAEP1_T011692.3","HVAEP6.G011692","HVAEP6.T011692.3"
"G011692","HVAEP1_G011692","HVAEP1_T011692.4","HVAEP6.G011692","HVAEP6.T011692.4"
"G011693","HVAEP1_G011693","HVAEP1_T011693.1","HVAEP6.G011693","HVAEP6.T011693.1"
"G011694","HVAEP1_G011694","HVAEP1_T011694.1","HVAEP6.G011694","HVAEP6.T011694.1"
"G011695","HVAEP1_G011695","HVAEP1_T011695.1","HVAEP6.G011695","HVAEP6.T011695.1"
"G011695","HVAEP1_G011695","HVAEP1_T011695.2","HVAEP6.G011695","HVAEP6.T011695.2"
"G011695","HVAEP1_G011695","HVAEP1_T011695.3","HVAEP6.G011695","HVAEP6.T011695.3"
"G011696","HVAEP1_G011696","HVAEP1_T011696.1","HVAEP6.G011696","HVAEP6.T011696.1"
"G011697","HVAEP1_G011697","HVAEP1_T011697.1","HVAEP6.G011697","HVAEP6.T011697.1"
"G011698","HVAEP1_G011698","HVAEP1_T011698.1","HVAEP6.G011698","HVAEP6.T011698.1"
"G011699","HVAEP1_G011699","HVAEP1_T011699.1","HVAEP6.G011699","HVAEP6.T011699.1"
"G011700","HVAEP1_G011700","HVAEP1_T011700.1","HVAEP6.G011700","HVAEP6.T011700.1"
"G011701","HVAEP1_G011701","HVAEP1_T011701.1","HVAEP6.G011701","HVAEP6.T011701.1"
"G011702","HVAEP1_G011702","HVAEP1_T011702.1","HVAEP6.G011702","HVAEP6.T011702.1"
"G011702","HVAEP1_G011702","HVAEP1_T011702.2","HVAEP6.G011702","HVAEP6.T011702.2"
