"","ID","clust","jID","enClust","bClust"
"che-1_MA0260.1","che-1_MA0260.1",62,"MA0260.1",3,"62_3"
"lin-14_MA0261.1","lin-14_MA0261.1",68,"MA0261.1",3,"68_3"
"ceh-10::ttx-3_MA0263.1","ceh-10::ttx-3_MA0263.1",61,"MA0263.1",27,"61_27"
"ceh-22_MA0264.1","ceh-22_MA0264.1",4,"MA0264.1",39,"4_39"
"SOX10_MA0442.2","SOX10_MA0442.2",19,"MA0442.2",45,"19_45"
"btd_MA0443.1","btd_MA0443.1",12,"MA0443.1",46,"12_46"
"D_MA0445.1","D_MA0445.1",19,"MA0445.1",47,"19_47"
"fkh_MA0446.1","fkh_MA0446.1",3,"MA0446.1",48,"3_48"
"gt_MA0447.1","gt_MA0447.1",27,"MA0447.1",9,"27_9"
"h_MA0449.1","h_MA0449.1",28,"MA0449.1",1,"28_1"
"hkb_MA0450.1","hkb_MA0450.1",12,"MA0450.1",49,"12_49"
"kni_MA0451.1","kni_MA0451.1",31,"MA0451.1",1,"31_1"
"odd_MA0454.1","odd_MA0454.1",36,"MA0454.1",1,"36_1"
"opa_MA0456.1","opa_MA0456.1",38,"MA0456.1",50,"38_50"
"slp1_MA0458.1","slp1_MA0458.1",3,"MA0458.1",39,"3_39"
"tll_MA0459.1","tll_MA0459.1",51,"MA0459.1",9,"51_9"
"Atoh1_MA0461.2","Atoh1_MA0461.2",53,"MA0461.2",19,"53_19"
"BATF::JUN_MA0462.2","BATF::JUN_MA0462.2",16,"MA0462.2",31,"16_31"
"BHLHE40_MA0464.2","BHLHE40_MA0464.2",28,"MA0464.2",2,"28_2"
"CDX2_MA0465.2","CDX2_MA0465.2",13,"MA0465.2",51,"13_51"
"Crx_MA0467.1","Crx_MA0467.1",5,"MA0467.1",4,"5_4"
"E2F3_MA0469.3","E2F3_MA0469.3",11,"MA0469.3",1,"11_1"
"E2F4_MA0470.2","E2F4_MA0470.2",11,"MA0470.2",8,"11_8"
"E2F6_MA0471.2","E2F6_MA0471.2",65,"MA0471.2",8,"65_8"
"ELF1_MA0473.3","ELF1_MA0473.3",24,"MA0473.3",22,"24_22"
"ERG_MA0474.2","ERG_MA0474.2",24,"MA0474.2",10,"24_10"
"FLI1_MA0475.2","FLI1_MA0475.2",24,"MA0475.2",10,"24_10"
"FOS_MA0476.1","FOS_MA0476.1",16,"MA0476.1",31,"16_31"
"FOSL1_MA0477.2","FOSL1_MA0477.2",16,"MA0477.2",31,"16_31"
"FOSL2_MA0478.1","FOSL2_MA0478.1",16,"MA0478.1",31,"16_31"
"Foxo1_MA0480.1","Foxo1_MA0480.1",3,"MA0480.1",23,"3_23"
"FOXP1_MA0481.3","FOXP1_MA0481.3",3,"MA0481.3",18,"3_18"
"Gfi1b_MA0483.1","Gfi1b_MA0483.1",90,"MA0483.1",11,"90_11"
"HNF4G_MA0484.2","HNF4G_MA0484.2",51,"MA0484.2",37,"51_37"
"HSF1_MA0486.2","HSF1_MA0486.2",98,"MA0486.2",52,"98_52"
"JUN_MA0488.1","JUN_MA0488.1",58,"MA0488.1",7,"58_7"
"JUN(var.2)_MA0489.1","JUN(var.2)_MA0489.1",16,"MA0489.1",31,"16_31"
"JUNB_MA0490.2","JUNB_MA0490.2",16,"MA0490.2",31,"16_31"
"JUND_MA0491.2","JUND_MA0491.2",16,"MA0491.2",31,"16_31"
"JUND(var.2)_MA0492.1","JUND(var.2)_MA0492.1",58,"MA0492.1",53,"58_53"
"Klf1_MA0493.1","Klf1_MA0493.1",12,"MA0493.1",54,"12_54"
"MEF2C_MA0497.1","MEF2C_MA0497.1",9,"MA0497.1",22,"9_22"
"MEIS1_MA0498.2","MEIS1_MA0498.2",2,"MA0498.2",39,"2_39"
"MYOD1_MA0499.2","MYOD1_MA0499.2",46,"MA0499.2",19,"46_19"
"MYOG_MA0500.2","MYOG_MA0500.2",46,"MA0500.2",19,"46_19"
"MAF::NFE2_MA0501.1","MAF::NFE2_MA0501.1",16,"MA0501.1",51,"16_51"
"NFYB_MA0502.2","NFYB_MA0502.2",111,"MA0502.2",34,"111_34"
"Nkx2-5(var.2)_MA0503.1","Nkx2-5(var.2)_MA0503.1",57,"MA0503.1",33,"57_33"
"Nr5a2_MA0505.1","Nr5a2_MA0505.1",71,"MA0505.1",24,"71_24"
"NRF1_MA0506.1","NRF1_MA0506.1",118,"MA0506.1",3,"118_3"
"POU2F2_MA0507.1","POU2F2_MA0507.1",35,"MA0507.1",27,"35_27"
"PRDM1_MA0508.3","PRDM1_MA0508.3",123,"MA0508.3",33,"123_33"
"RFX1_MA0509.2","RFX1_MA0509.2",129,"MA0509.2",55,"129_55"
"RFX5_MA0510.2","RFX5_MA0510.2",129,"MA0510.2",55,"129_55"
"RUNX2_MA0511.2","RUNX2_MA0511.2",7,"MA0511.2",1,"7_1"
"SMAD2::SMAD3::SMAD4_MA0513.1","SMAD2::SMAD3::SMAD4_MA0513.1",133,"MA0513.1",1,"133_1"
"Sox3_MA0514.1","Sox3_MA0514.1",19,"MA0514.1",19,"19_19"
"Sox6_MA0515.1","Sox6_MA0515.1",19,"MA0515.1",1,"19_1"
"Stat5a::Stat5b_MA0519.1","Stat5a::Stat5b_MA0519.1",47,"MA0519.1",12,"47_12"
"Tcf12_MA0521.1","Tcf12_MA0521.1",46,"MA0521.1",19,"46_19"
"TCF3_MA0522.3","TCF3_MA0522.3",46,"MA0522.3",19,"46_19"
"TCF7L2_MA0523.1","TCF7L2_MA0523.1",101,"MA0523.1",56,"101_56"
"TFAP2C_MA0524.2","TFAP2C_MA0524.2",141,"MA0524.2",1,"141_1"
"USF2_MA0526.3","USF2_MA0526.3",28,"MA0526.3",1,"28_1"
"ZBTB33_MA0527.1","ZBTB33_MA0527.1",149,"MA0527.1",1,"149_1"
"ZNF263_MA0528.2","ZNF263_MA0528.2",162,"MA0528.2",1,"162_1"
"cnc::maf-S_MA0530.1","cnc::maf-S_MA0530.1",16,"MA0530.1",38,"16_38"
"CTCF_MA0531.1","CTCF_MA0531.1",18,"MA0531.1",1,"18_1"
"Stat92E_MA0532.1","Stat92E_MA0532.1",47,"MA0532.1",1,"47_1"
"su(Hw)_MA0533.1","su(Hw)_MA0533.1",49,"MA0533.1",3,"49_3"
"Mad_MA0535.1","Mad_MA0535.1",34,"MA0535.1",1,"34_1"
"blmp-1_MA0537.1","blmp-1_MA0537.1",59,"MA0537.1",57,"59_57"
"daf-12_MA0538.1","daf-12_MA0538.1",63,"MA0538.1",3,"63_3"
"dpy-27_MA0540.1","dpy-27_MA0540.1",64,"MA0540.1",11,"64_11"
"efl-1_MA0541.1","efl-1_MA0541.1",65,"MA0541.1",8,"65_8"
"elt-3_MA0542.1","elt-3_MA0542.1",66,"MA0542.1",4,"66_4"
"eor-1_MA0543.1","eor-1_MA0543.1",67,"MA0543.1",1,"67_1"
"snpc-4_MA0544.1","snpc-4_MA0544.1",74,"MA0544.1",1,"74_1"
"hlh-1_MA0545.1","hlh-1_MA0545.1",46,"MA0545.1",19,"46_19"
"pha-4_MA0546.1","pha-4_MA0546.1",3,"MA0546.1",13,"3_13"
"Bach1::Mafk_MA0591.1","Bach1::Mafk_MA0591.1",16,"MA0591.1",25,"16_25"
"ESRRA_MA0592.3","ESRRA_MA0592.3",71,"MA0592.3",1,"71_1"
"FOXP2_MA0593.1","FOXP2_MA0593.1",3,"MA0593.1",58,"3_58"
"HOXA9_MA0594.2","HOXA9_MA0594.2",97,"MA0594.2",37,"97_37"
"SREBF1_MA0595.1","SREBF1_MA0595.1",136,"MA0595.1",59,"136_59"
"SREBF2_MA0596.1","SREBF2_MA0596.1",136,"MA0596.1",37,"136_37"
"THAP1_MA0597.1","THAP1_MA0597.1",25,"MA0597.1",1,"25_1"
"EHF_MA0598.3","EHF_MA0598.3",24,"MA0598.3",10,"24_10"
"KLF5_MA0599.1","KLF5_MA0599.1",12,"MA0599.1",17,"12_17"
"RFX2_MA0600.2","RFX2_MA0600.2",129,"MA0600.2",55,"129_55"
"Arntl_MA0603.1","Arntl_MA0603.1",28,"MA0603.1",2,"28_2"
"Atf1_MA0604.1","Atf1_MA0604.1",58,"MA0604.1",7,"58_7"
"ATF3_MA0605.2","ATF3_MA0605.2",58,"MA0605.2",60,"58_60"
"Bhlha15_MA0607.1","Bhlha15_MA0607.1",53,"MA0607.1",19,"53_19"
"Creb3l2_MA0608.1","Creb3l2_MA0608.1",28,"MA0608.1",2,"28_2"
"Dux_MA0611.1","Dux_MA0611.1",37,"MA0611.1",8,"37_8"
"EMX1_MA0612.2","EMX1_MA0612.2",1,"MA0612.2",61,"1_61"
"FOXG1_MA0613.1","FOXG1_MA0613.1",3,"MA0613.1",36,"3_36"
"Foxj2_MA0614.1","Foxj2_MA0614.1",3,"MA0614.1",18,"3_18"
"HES2_MA0616.2","HES2_MA0616.2",28,"MA0616.2",2,"28_2"
"LIN54_MA0619.1","LIN54_MA0619.1",69,"MA0619.1",36,"69_36"
"MITF_MA0620.3","MITF_MA0620.3",28,"MA0620.3",37,"28_37"
"mix-a_MA0621.1","mix-a_MA0621.1",1,"MA0621.1",27,"1_27"
"Mlxip_MA0622.1","Mlxip_MA0622.1",28,"MA0622.1",2,"28_2"
"NEUROG1_MA0623.2","NEUROG1_MA0623.2",53,"MA0623.2",43,"53_43"
"NFATC1_MA0624.1","NFATC1_MA0624.1",109,"MA0624.1",60,"109_60"
"NFATC3_MA0625.1","NFATC3_MA0625.1",109,"MA0625.1",9,"109_9"
"Npas2_MA0626.1","Npas2_MA0626.1",28,"MA0626.1",2,"28_2"
"POU2F3_MA0627.2","POU2F3_MA0627.2",35,"MA0627.2",62,"35_62"
"Rhox11_MA0629.1","Rhox11_MA0629.1",130,"MA0629.1",3,"130_3"
"SHOX_MA0630.1","SHOX_MA0630.1",1,"MA0630.1",22,"1_22"
"TCFL5_MA0632.2","TCFL5_MA0632.2",75,"MA0632.2",63,"75_63"
"Twist2_MA0633.1","Twist2_MA0633.1",53,"MA0633.1",43,"53_43"
"ALX3_MA0634.1","ALX3_MA0634.1",1,"MA0634.1",61,"1_61"
"BHLHE41_MA0636.1","BHLHE41_MA0636.1",28,"MA0636.1",37,"28_37"
"CENPB_MA0637.1","CENPB_MA0637.1",80,"MA0637.1",1,"80_1"
"CREB3_MA0638.1","CREB3_MA0638.1",78,"MA0638.1",27,"78_27"
"DBP_MA0639.1","DBP_MA0639.1",27,"MA0639.1",9,"27_9"
"ELF3_MA0640.2","ELF3_MA0640.2",24,"MA0640.2",22,"24_22"
"ELF4_MA0641.1","ELF4_MA0641.1",24,"MA0641.1",10,"24_10"
"EN2_MA0642.1","EN2_MA0642.1",1,"MA0642.1",35,"1_35"
"ESX1_MA0644.1","ESX1_MA0644.1",1,"MA0644.1",61,"1_61"
"ETV6_MA0645.1","ETV6_MA0645.1",24,"MA0645.1",10,"24_10"
"GRHL1_MA0647.1","GRHL1_MA0647.1",26,"MA0647.1",23,"26_23"
"GSC_MA0648.1","GSC_MA0648.1",5,"MA0648.1",4,"5_4"
"HEY2_MA0649.1","HEY2_MA0649.1",28,"MA0649.1",2,"28_2"
"IRF8_MA0652.1","IRF8_MA0652.1",59,"MA0652.1",6,"59_6"
"IRF9_MA0653.1","IRF9_MA0653.1",59,"MA0653.1",6,"59_6"
"ISX_MA0654.1","ISX_MA0654.1",1,"MA0654.1",22,"1_22"
"JDP2_MA0655.1","JDP2_MA0655.1",16,"MA0655.1",31,"16_31"
"JDP2(var.2)_MA0656.1","JDP2(var.2)_MA0656.1",58,"MA0656.1",53,"58_53"
"KLF13_MA0657.1","KLF13_MA0657.1",12,"MA0657.1",1,"12_1"
"LHX6_MA0658.1","LHX6_MA0658.1",1,"MA0658.1",27,"1_27"
"MIXL1_MA0662.1","MIXL1_MA0662.1",1,"MA0662.1",61,"1_61"
"MLX_MA0663.1","MLX_MA0663.1",28,"MA0663.1",37,"28_37"
"MLXIPL_MA0664.1","MLXIPL_MA0664.1",28,"MA0664.1",2,"28_2"
"MSC_MA0665.1","MSC_MA0665.1",46,"MA0665.1",19,"46_19"
"MYF6_MA0667.1","MYF6_MA0667.1",46,"MA0667.1",19,"46_19"
"NEUROD2_MA0668.1","NEUROD2_MA0668.1",53,"MA0668.1",19,"53_19"
"NEUROG2_MA0669.1","NEUROG2_MA0669.1",53,"MA0669.1",19,"53_19"
"NFIX_MA0671.1","NFIX_MA0671.1",92,"MA0671.1",1,"92_1"
"NKX2-8_MA0673.1","NKX2-8_MA0673.1",4,"MA0673.1",1,"4_1"
"NKX6-1_MA0674.1","NKX6-1_MA0674.1",1,"MA0674.1",64,"1_64"
"OLIG2_MA0678.1","OLIG2_MA0678.1",53,"MA0678.1",19,"53_19"
"ONECUT1_MA0679.2","ONECUT1_MA0679.2",6,"MA0679.2",37,"6_37"
"PHOX2B_MA0681.2","PHOX2B_MA0681.2",83,"MA0681.2",26,"83_26"
"PITX1_MA0682.2","PITX1_MA0682.2",5,"MA0682.2",4,"5_4"
"POU4F2_MA0683.1","POU4F2_MA0683.1",95,"MA0683.1",65,"95_65"
"RUNX3_MA0684.2","RUNX3_MA0684.2",7,"MA0684.2",1,"7_1"
"SP4_MA0685.1","SP4_MA0685.1",12,"MA0685.1",66,"12_66"
"SPDEF_MA0686.1","SPDEF_MA0686.1",24,"MA0686.1",10,"24_10"
"SPIC_MA0687.1","SPIC_MA0687.1",24,"MA0687.1",29,"24_29"
"TBX2_MA0688.1","TBX2_MA0688.1",86,"MA0688.1",1,"86_1"
"TBX21_MA0690.1","TBX21_MA0690.1",86,"MA0690.1",27,"86_27"
"TFAP4_MA0691.1","TFAP4_MA0691.1",46,"MA0691.1",19,"46_19"
"TFEB_MA0692.1","TFEB_MA0692.1",28,"MA0692.1",37,"28_37"
"VDR_MA0693.2","VDR_MA0693.2",17,"MA0693.2",1,"17_1"
"ZBTB7B_MA0694.1","ZBTB7B_MA0694.1",151,"MA0694.1",1,"151_1"
"ZBTB7C_MA0695.1","ZBTB7C_MA0695.1",151,"MA0695.1",1,"151_1"
"ZIC1_MA0696.1","ZIC1_MA0696.1",38,"MA0696.1",3,"38_3"
"ZIC3_MA0697.1","ZIC3_MA0697.1",38,"MA0697.1",50,"38_50"
"ZBTB18_MA0698.1","ZBTB18_MA0698.1",53,"MA0698.1",19,"53_19"
"LBX2_MA0699.1","LBX2_MA0699.1",1,"MA0699.1",35,"1_35"
"LHX2_MA0700.2","LHX2_MA0700.2",1,"MA0700.2",4,"1_4"
"LMX1B_MA0703.2","LMX1B_MA0703.2",1,"MA0703.2",27,"1_27"
"MEOX2_MA0706.1","MEOX2_MA0706.1",1,"MA0706.1",27,"1_27"
"MNX1_MA0707.1","MNX1_MA0707.1",1,"MA0707.1",22,"1_22"
"MSX2_MA0708.1","MSX2_MA0708.1",1,"MA0708.1",22,"1_22"
"NOTO_MA0710.1","NOTO_MA0710.1",1,"MA0710.1",27,"1_27"
"OTX1_MA0711.1","OTX1_MA0711.1",5,"MA0711.1",4,"5_4"
"OTX2_MA0712.2","OTX2_MA0712.2",5,"MA0712.2",4,"5_4"
"PHOX2A_MA0713.1","PHOX2A_MA0713.1",83,"MA0713.1",21,"83_21"
"PITX3_MA0714.1","PITX3_MA0714.1",5,"MA0714.1",4,"5_4"
"PROP1_MA0715.1","PROP1_MA0715.1",83,"MA0715.1",21,"83_21"
"PRRX1_MA0716.1","PRRX1_MA0716.1",1,"MA0716.1",22,"1_22"
"RAX2_MA0717.1","RAX2_MA0717.1",1,"MA0717.1",22,"1_22"
"RAX_MA0718.1","RAX_MA0718.1",1,"MA0718.1",61,"1_61"
"RHOXF1_MA0719.1","RHOXF1_MA0719.1",5,"MA0719.1",1,"5_1"
"Shox2_MA0720.1","Shox2_MA0720.1",1,"MA0720.1",22,"1_22"
"UNCX_MA0721.1","UNCX_MA0721.1",1,"MA0721.1",4,"1_4"
"VENTX_MA0724.1","VENTX_MA0724.1",1,"MA0724.1",4,"1_4"
"NR3C2_MA0727.1","NR3C2_MA0727.1",76,"MA0727.1",9,"76_9"
"Nr2f6(var.2)_MA0728.1","Nr2f6(var.2)_MA0728.1",96,"MA0728.1",67,"96_67"
"RARA(var.2)_MA0730.1","RARA(var.2)_MA0730.1",126,"MA0730.1",68,"126_68"
"BCL6B_MA0731.1","BCL6B_MA0731.1",47,"MA0731.1",22,"47_22"
"GLIS2_MA0736.1","GLIS2_MA0736.1",91,"MA0736.1",3,"91_3"
"GLIS3_MA0737.1","GLIS3_MA0737.1",91,"MA0737.1",41,"91_41"
"HIC2_MA0738.1","HIC2_MA0738.1",92,"MA0738.1",3,"92_3"
"Hic1_MA0739.1","Hic1_MA0739.1",92,"MA0739.1",1,"92_1"
"KLF14_MA0740.1","KLF14_MA0740.1",12,"MA0740.1",26,"12_26"
"KLF16_MA0741.1","KLF16_MA0741.1",12,"MA0741.1",54,"12_54"
"Klf12_MA0742.1","Klf12_MA0742.1",12,"MA0742.1",4,"12_4"
"SCRT1_MA0743.2","SCRT1_MA0743.2",46,"MA0743.2",3,"46_3"
"SCRT2_MA0744.2","SCRT2_MA0744.2",46,"MA0744.2",3,"46_3"
"SNAI2_MA0745.2","SNAI2_MA0745.2",46,"MA0745.2",19,"46_19"
"SP3_MA0746.2","SP3_MA0746.2",12,"MA0746.2",28,"12_28"
"SP8_MA0747.1","SP8_MA0747.1",12,"MA0747.1",14,"12_14"
"YY2_MA0748.2","YY2_MA0748.2",43,"MA0748.2",1,"43_1"
"ZBTB7A_MA0750.2","ZBTB7A_MA0750.2",24,"MA0750.2",1,"24_1"
"ZIC4_MA0751.1","ZIC4_MA0751.1",38,"MA0751.1",3,"38_3"
"ONECUT2_MA0756.1","ONECUT2_MA0756.1",6,"MA0756.1",58,"6_58"
"ONECUT3_MA0757.1","ONECUT3_MA0757.1",6,"MA0757.1",58,"6_58"
"E2F7_MA0758.1","E2F7_MA0758.1",65,"MA0758.1",8,"65_8"
"ELK3_MA0759.1","ELK3_MA0759.1",24,"MA0759.1",10,"24_10"
"ERF_MA0760.1","ERF_MA0760.1",24,"MA0760.1",10,"24_10"
"ETV1_MA0761.2","ETV1_MA0761.2",24,"MA0761.2",10,"24_10"
"ETV2_MA0762.1","ETV2_MA0762.1",24,"MA0762.1",10,"24_10"
"ETV3_MA0763.1","ETV3_MA0763.1",24,"MA0763.1",10,"24_10"
"ETV4_MA0764.2","ETV4_MA0764.2",24,"MA0764.2",10,"24_10"
"ETV5_MA0765.2","ETV5_MA0765.2",24,"MA0765.2",10,"24_10"
"GATA5_MA0766.2","GATA5_MA0766.2",66,"MA0766.2",14,"66_14"
"LEF1_MA0768.1","LEF1_MA0768.1",101,"MA0768.1",59,"101_59"
"TCF7_MA0769.2","TCF7_MA0769.2",101,"MA0769.2",69,"101_69"
"HSF2_MA0770.1","HSF2_MA0770.1",98,"MA0770.1",52,"98_52"
"HSF4_MA0771.1","HSF4_MA0771.1",98,"MA0771.1",70,"98_70"
"IRF7_MA0772.1","IRF7_MA0772.1",59,"MA0772.1",11,"59_11"
