"","Interstitial SCs","Female Germ Cells","Male Germ Cells","Early NBs","Early/Mid NBs","Isorhiza NBs 1","Isorhiza NBs 2","Early Desmoneme NBs","Mid/Late Desmoneme NBs","Late Desmoneme NBs","Mid Stenotele NBs","Mid/Late Stenotele NBs","Late Stenotele NBs","Early Maturing NCs","Late Iso NCs","Mid Nematocytes","Mid Desmoneme NCs","Late Desmoneme NCs","Late Stenotele NCs","Neurogenesis","Ec1 Neurons","Ec1/5 Neurons","Ec2 Neurons","Ec3 Neurons","Ec4 Neurons","Ec5 Neurons","En1 Neurons","En2 Neurons","En3 Neurons","Mucous GCs","Granular Mucous GCs Tip","Granular Mucous GCs","Zymogen GCs 1","Zymogen GCs 2","Zymogen GCs 3","Zymogen GCs 4","Spumous Mucous GCs Tip","Spumous Mucous GCs","Ecto Basal Disk","Ecto Aboral SCs","Ecto SCs 1","Ecto SCs 2","Ecto Somatic Gonad","Ecto Head","Ecto Tentacle","Ecto Tentacle Tip","Epithelial Head Organizer","Endo Foot","Endo Mid SCs","Endo SCs","Endo Head","Endo Tentacle","Endo Tentacle Tip"
"MA0798.2 RFX3",0,0,0.748160472089781,0,0,0,0,0,0,0,0,0,0,0,0.705017913287547,0,0,0.659300091229699,0.667349303428088,0,0,0,0,0,0,0,0,0,0,0.84019207029272,1,0,0,0,0,0,0.449534154188223,0.623509039290902,0.230011249166554,0.129791447311652,0,0,0,0,0,0.105725450928442,0,0,0,0,0,0,0
"MA0909.2 HOXD13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0596.1 SREBF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MA0595.1 SREBF1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821316277149948,0,0
"MA0810.1 TFAP2A(var.2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1630.1 Znf281",0,0,0,0.494928642119352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1578.1 VEZF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1650.1 ZBTB14",0,0,0,0.927562204724986,1,0,0,0.979362913602436,0,0,0,0,0,0,0,0,0,0,0,0.929949411651504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0527.1 ZBTB33",0,0,0,0.84756581691669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1700.1 Clamp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1583.1 ZFP57",0,0,0,0.883406227561472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1596.1 ZNF460",0,0,0,0,0,0,0,0,0.884044444952681,0.90176952889842,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0655.1 JDP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927413676789718,0,0,0.113487981750207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990065659301466,0.578303312228821,0,0.463010030369392,0.262483629067541,0,0.44793830504705,0.101847033327771,0,0,0,0,0,0.0376395955916462
"MA1101.2 BACH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.654072279286066,0,0,0,0,0,0,0,0,0,0,0,0
