"","Interstitial SCs","Female Germ Cells","Male Germ Cells","Early NBs","Early/Mid NBs","Isorhiza NBs 1","Isorhiza NBs 2","Early Desmoneme NBs","Mid/Late Desmoneme NBs","Late Desmoneme NBs","Mid Stenotele NBs","Mid/Late Stenotele NBs","Late Stenotele NBs","Early Maturing NCs","Late Iso NCs","Mid Nematocytes","Mid Desmoneme NCs","Late Desmoneme NCs","Late Stenotele NCs","Neurogenesis","Ec1 Neurons","Ec1/5 Neurons","Ec2 Neurons","Ec3 Neurons","Ec4 Neurons","Ec5 Neurons","En1 Neurons","En2 Neurons","En3 Neurons","Mucous GCs","Granular Mucous GCs Tip","Granular Mucous GCs","Zymogen GCs 1","Zymogen GCs 2","Zymogen GCs 3","Zymogen GCs 4","Spumous Mucous GCs Tip","Spumous Mucous GCs","Ecto Basal Disk","Ecto Aboral SCs","Ecto SCs 1","Ecto SCs 2","Ecto Somatic Gonad","Ecto Head","Ecto Tentacle","Ecto Tentacle Tip","Epithelial Head Organizer","Endo Foot","Endo Mid SCs","Endo SCs","Endo Head","Endo Tentacle","Endo Tentacle Tip"
"MA0101.1 REL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"MA0103.3 ZEB1",0,0,0,0,0.570905489620096,0,0,0,0,0.576362693887513,0,0,0.534474281622621,0.60694857785748,0,0,0,0,0,0.78523527755962,0.642923180890385,0.712532110095228,1,0.745726325215929,0.849400241443002,0.791156267918591,0.683530075979826,0.865596676985368,0,0,0,0,0,0,0,0,0.639619423881645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0105.4 NFKB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0107.1 RELA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"MA0136.2 ELF5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.903549922879322,0.942431555614692,0.89816454154712,0.888472837917232,0,0,0,0.952753616549521,0.965601024850877
"MA0139.1 CTCF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730032138416754,0,0,0,0,0,0,0,0,0
"MA0141.3 ESRRB",0,0,0,0,0,1,0,0,0.839718151859482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0143.4 SOX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0147.3 MYC",0.870692163369988,0,0,0.771630089387387,0.886749831016043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0148.4 FOXA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.699479464549918,0.713162505428612,0,0
"MA0155.1 INSM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815321707482634,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0156.2 FEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995603163882596,1,0,0,0,0.888004106968385,0.935120157643538,0.951235126772159,0.928264941511708,0.890050590487261,0,0,0,0.963291200179094,0.956498319993881
"MA0157.2 FOXO3",0,0,0,0,0,0,0,0,0,0,0,0,0.780940823137614,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.710589043597692,0.730276664651089,0,0
"MA0160.1 NR4A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0161.2 NFIC",0,0,0,0,0,0,0,0,0.947262177297539,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0162.4 EGR1",0,0,0,0,0,0,0,0,0,0.963882462532325,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0163.1 PLAG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0213.1 brk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964338463673086,0,0.971442304273619,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0222.1 exd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.978498293921863,0,0
"MA0242.1 Bgb::run",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.931416991854222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888419093830074,0,0,0,0,0,0
"MA0249.2 twi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968683652533508,0,0,0,0.93054488012246,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0253.1 vnd",0,0,0,0,0,1,0,0,0,0,0,0.937736294490509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784371965244382,0,0,0,0,0
"MA0255.1 z",0,0,0,0,0,1,0.980646202708427,0.972653996741732,0.963612865644786,0.901406173209952,0,0.91891684167031,0.855683830470739,0,0,0,0,0,0,0.963887402708792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0259.1 ARNT::HIF1A",0.823163585460838,0,0,0,1,0,0,0.894700210231372,0,0,0,0,0,0,0,0,0,0,0,0.890652346345567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0442.2 SOX10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824350900954058,0,0.826952813677775,1,0,0,0,0,0.965792736626177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670814155025464,0,0,0,0,0,0
"MA0443.1 btd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784348771744139,0,0,0.907320582010664,1,0,0.896044216656497,0,0,0,0,0,0,0,0,0,0,0,0,0.851024514611401,0,0,0,0,0,0,0.689236089892785,0,0,0,0,0,0
"MA0445.1 D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.855128414682835,0,0.880520013630309,0,0,1,0.968508441791237,0.965660070931867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671057431049974,0,0,0,0,0,0
"MA0446.1 fkh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675241658572927,0.867464642538774,0,1,0,0.616657379392331,0,0,0,0,0,0,0,0,0,0.496724828782396,0.512495093053651,0.752537391931978,0.495187243391139,0.498063086528551,0.494915400857382,0.499542020515031
"MA0450.1 hkb",0,0,0,0,0,0,0,0,0,0,0,0,0,0.910421930174378,0,0,0,0,0,0.8363694005402,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0454.1 odd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0456.1 opa",0,0,0,0,0,0,0,0,0.891218131437404,1,0,0,0,0,0,0,0,0,0,0.888998785984136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916183058701858,0,0,0,0,0,0,0,0,0
"MA0458.1 slp1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907629343326119,0.936663728462987,0,0,0.920142887416681,0,0
"MA0461.2 Atoh1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611514715158742,0.627492232151838,0.691088464392478,0.9333178278858,0.906333637955833,0.878191007039507,0.717197410309868,1,0.894374596876905,0.971874011212989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0464.2 BHLHE40",0.900479020098044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829315040552921,0,0
"MA0467.1 Crx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.539584894039904,0,0,0.686571947132324,0.557605504499636,0.579043121428213,0.586314209529338,0,0,0,0.591537241734391,0,0.600811415062721
"MA0469.3 E2F3",0,0,0,0.824914537475547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701608871593254,0,0,0,0,0,0
"MA0470.2 E2F4",0,0,0,0.252010361296267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295938885187987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0471.2 E2F6",0.250662538564302,0.245912385065889,0,0.284958275593558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304126443264202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0473.3 ELF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.877970584378828,0.910011523471305,0,0,0,0,0,0,0
"MA0474.2 ERG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.793728603626622,0.857525469583795,0,0,0,0,0.769664478228971,0.783309017793922,0.759285272288418,0.724674985007719,0,0,0.662251556476791,0.794384049852681,0.772930892408401
"MA0475.2 FLI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.825784109931287,0.863103042644,0,0,0.750578021037232,0,0.779016161297046,0.81039868624938,0.794659869744279,0.764371663109696,0,0,0.689884996253078,0.812126403395115,0.800483905556514
"MA0477.2 FOSL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995114545877547,0.685120649904183,0,0,0,0,0,0,0,0,0,0,0,0
"MA0478.1 FOSL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859346291547781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.64257277640859,0,0.71085654867527,0.707105842998554,0,0.581272414034026,0,0,0,0,0,0,0
