"","ID","clust"
"Dll_MA0187.1","Dll_MA0187.1",1
"dmrt99B_MA1455.1","dmrt99B_MA1455.1",22
"Dr_MA0188.1","Dr_MA0188.1",1
"Dref_MA1456.1","Dref_MA1456.1",6
"dve_MA0915.1","dve_MA0915.1",5
"E5_MA0189.1","E5_MA0189.1",1
"EcR::usp_MA0534.1","EcR::usp_MA0534.1",23
"Eip74EF_MA0026.1","Eip74EF_MA0026.1",24
"ems_MA0219.1","ems_MA0219.1",1
"en_MA0220.1","en_MA0220.1",1
"Ets21C_MA0916.1","Ets21C_MA0916.1",24
"eve_MA0221.1","eve_MA0221.1",1
"exd_MA0222.1","exd_MA0222.1",2
"exex_MA0224.1","exex_MA0224.1",1
"fkh_MA0446.1","fkh_MA0446.1",3
"ftz_MA0225.1","ftz_MA0225.1",1
"gcm2_MA0917.1","gcm2_MA0917.1",25
"grh_MA1457.1","grh_MA1457.1",26
"Gsc_MA0190.1","Gsc_MA0190.1",5
"gt_MA0447.1","gt_MA0447.1",27
"h_MA0449.1","h_MA0449.1",28
"H2.0_MA0448.1","H2.0_MA0448.1",1
"hb_MA0049.1","hb_MA0049.1",29
"hbn_MA0226.1","hbn_MA0226.1",1
"HGTX_MA0191.1","HGTX_MA0191.1",1
"HHEX_MA0183.1","HHEX_MA0183.1",1
"hkb_MA0450.1","hkb_MA0450.1",12
"Hmx_MA0192.1","Hmx_MA0192.1",1
"Hsf_MA1458.1","Hsf_MA1458.1",30
"hth_MA0227.1","hth_MA0227.1",2
"ind_MA0228.1","ind_MA0228.1",1
"inv_MA0229.1","inv_MA0229.1",1
"kni_MA0451.1","kni_MA0451.1",31
"Kr_MA0452.2","Kr_MA0452.2",32
"lab_MA0230.1","lab_MA0230.1",1
"lbe_MA0231.1","lbe_MA0231.1",1
"lbl_MA0232.1","lbl_MA0232.1",1
"Lim1_MA0194.1","Lim1_MA0194.1",1
"Lim3_MA0195.1","Lim3_MA0195.1",1
"lms_MA0175.1","lms_MA0175.1",1
"M1BP_MA1459.1","M1BP_MA1459.1",33
"Mad_MA0535.1","Mad_MA0535.1",34
"mirr_MA0233.1","mirr_MA0233.1",3
"NK7.1_MA0196.1","NK7.1_MA0196.1",1
"nub_MA0197.2","nub_MA0197.2",35
"oc_MA0234.1","oc_MA0234.1",5
"odd_MA0454.1","odd_MA0454.1",36
"OdsH_MA0198.1","OdsH_MA0198.1",1
"onecut_MA0235.1","onecut_MA0235.1",37
"opa_MA0456.1","opa_MA0456.1",38
"Optix_MA0199.1","Optix_MA0199.1",39
"otp_MA0236.1","otp_MA0236.1",1
"ovo_MA0126.1","ovo_MA0126.1",40
"pan_MA0237.2","pan_MA0237.2",41
"pb_MA0238.1","pb_MA0238.1",1
"Pdp1_MA1702.1","Pdp1_MA1702.1",42
"PHDP_MA0457.1","PHDP_MA0457.1",1
"pho_MA1460.1","pho_MA1460.1",43
"pnr_MA0536.1","pnr_MA0536.1",6
"Pph13_MA0200.1","Pph13_MA0200.1",1
"prd_MA0239.1","prd_MA0239.1",40
"Ptx1_MA0201.1","Ptx1_MA0201.1",5
"repo_MA0240.1","repo_MA0240.1",1
"ro_MA0241.1","ro_MA0241.1",1
"Rx_MA0202.1","Rx_MA0202.1",1
"schlank_MA0193.1","schlank_MA0193.1",44
"Scr_MA0203.1","Scr_MA0203.1",1
"sd_MA0243.1","sd_MA0243.1",45
"Six4_MA0204.1","Six4_MA0204.1",39
"slbo_MA0244.1","slbo_MA0244.1",42
"slou_MA0245.1","slou_MA0245.1",1
"slp1_MA0458.1","slp1_MA0458.1",3
"sna_MA0086.2","sna_MA0086.2",46
"so_MA0246.1","so_MA0246.1",39
"Stat92E_MA0532.1","Stat92E_MA0532.1",47
"Su(H)_MA0085.1","Su(H)_MA0085.1",48
"su(Hw)_MA0533.1","su(Hw)_MA0533.1",49
"sv_MA1461.1","sv_MA1461.1",50
"tin_MA0247.2","tin_MA0247.2",4
"tll_MA0459.1","tll_MA0459.1",51
"Trl_MA0205.2","Trl_MA0205.2",15
"ttk_MA0460.1","ttk_MA0460.1",52
"tup_MA0248.1","tup_MA0248.1",1
"twi_MA0249.2","twi_MA0249.2",53
"Ubx_MA0094.2","Ubx_MA0094.2",1
"unc-4_MA0250.1","unc-4_MA0250.1",1
"unpg_MA0251.1","unpg_MA0251.1",1
"usp_MA0016.1","usp_MA0016.1",54
"vfl_MA1462.1","vfl_MA1462.1",55
"vis_MA0252.1","vis_MA0252.1",2
"vnd_MA0253.1","vnd_MA0253.1",4
"Vsx1_MA0181.1","Vsx1_MA0181.1",1
"Vsx2_MA0180.1","Vsx2_MA0180.1",1
"vvl_MA0254.1","vvl_MA0254.1",56
"z_MA0255.1","z_MA0255.1",57
"zen_MA0256.1","zen_MA0256.1",1
"zen2_MA0257.1","zen2_MA0257.1",1
